"Non-Stationary Covariate Distribution","True ATT = 4.308","Sem. Eff. Bound = 1753.598","","","",""
"n = 1000","MC reps = 5000","","","","",""
"","","","","","",""
"Panel A: TWFE Estimators","","","","","",""
"Method","Avg. Bias","Med. Bias","RMSE","Asy. Var.","Cover.","CIL"
"twfe_base","-10.437","-10.445","10.933","10425.033","0.121","12.633"
"twfe_saturated","-11.176","-11.206","11.579"," 8797.289","0.045","11.612"
"","","","","","",""
"Panel B: Nonparametric DR DiD Estimators","","","","","",""
"Method","Avg. Bias","Med. Bias","RMSE","Asy. Var.","Cover.","CIL"
"nstnr_ml","-0.009","-0.010","1.374","1838.495","0.949","5.304"
"nstnr_ls","-0.013","-0.010","1.379","1848.848","0.949","5.314"
"stnr_ml"," 4.427"," 4.436","4.543"," 983.436","0.009","3.884"
"stnr_ls"," 4.427"," 4.435","4.543"," 983.746","0.009","3.884"
"","","","","","",""
"Panel C: Hausman-type Test","","","","","",""
"Method","Avg. Test Stats.","Emp. Rej. Freq. (0.10)","Emp. Rej. Freq. (0.05)","Emp. Rej. Freq. (0.01)","",""
"stb_ml","21.250","0.998","0.996","0.978","",""
"stb_ls","21.199","0.998","0.995","0.976","",""
